2020년,업무,실내습도(%),실내온도(℃),pH,EC,수온(℃),광시간(명/암),수온(℃),pH,EC,기타(수경인삼),
08월 07일,양액교환,66~71,19.3~20.4,6,0.4,18.5,12/12,,,,,
08월 08일,,66~71,19.3~20.9,6,0.4,18.8,12/12,,,,"생육조사(무게, 근경, 초장)",
08월 09일,,,,,,,12/12,,,,,
08월 10일,,66~71,19.3~20.6,6,0.4,18.7,12/12,,,,,
08월 11일,,66~71,19.3~20.6,5.9,0.4,18.9,12/12,,,,,
08월 12일,,,,,,,12/12,,,,,
08월 13일,,66~71,19.3~20.6,5.8,0.4,18.9,12/12,,,,"60초/30분, 칠러정지",
08월 14일,양액교환,67~71,19.3~20.6,5.9,0.4,23.4,12/12,,6,0.4,소독,
08월 15일,광복절,,,,,,12/12,,,,,
08월 16일,,,,,,,12/12,,,,,
08월 17일,임시휴일,,,,,,12/12,,,,,
08월 18일,,66~71,19.3~20.6,5.9,0.7,23.7,12/12,18.8,6,0.4,"칠러켬, 60초/20분",
08월 19일,,,,,,,12/12,,,,,
08월 20일,,66~76,19.3~21.9,5.6,0.4,18.9,12/12,,6,0.7,EC 0.7,
08월 21일,양액교환,70~78,20.5~21.9,6,0.7,18.6,12/12,,,,습도 5% 올림,
08월 22일,,73~82,20.5~21.9,5.9,0.7,18.3,12/12,,,,"생육조사(무게, 근경, 초장)",
08월 23일,,,,,,,12/12,,,,,
08월 24일,,76~82,20.4~21.9,6,0.7,18.5,12/12,,,0.2,"EC 0.2, 습도 5% 올림",
08월 25일,,73~87,20.9~22.3,6,0.2,18.3,12/12,,,,,
08월 26일,,,,,,,12/12,,,,,
08월 27일,,57~92,20.9~52.4,5.9,0.3,38.1,12/12,,,,항온항습기 문제 발생으로 전체 고사,
08월 28일,,59~72,20.2~32.5,6,0.3,20.4,12/12,,,,세척 및 발아(4번방에서),
08월 29일,,69~71,20.3~20.9,,,19.8,12/12,,,,,
08월 30일,,,,,,,12/12,,,,,
08월 31일,,68~71,20.4~20.9,,,19.5,12/12,,,,,
09월 01일,,61~71,20.4~21.8,,,19.4,12/12,,,,발아불량으로 새로 휴먼타파하여 진행(2박스 냉장실로 옮김),
09월 02일,,59~63,21.2~21.9,,,19.7,12/12,,,,,
09월 03일,,,,,,,12/12,,,,,
09월 04일,,,,,,,12/12,,,,,
09월 05일,,,,,,,12/12,,,,,
09월 06일,,,,,,,12/12,,,,,
09월 07일,,59~67,19.6~21.8,,,19.7,12/12,,,,세척 및 발아,
09월 08일,,59~66,19.4~20.4,,,18.4,12/12,,,,온도 1℃올림,
09월 09일,,,,,,,12/12,,,,,
09월 10일,,62~66,20.2~21.4,,,19.1,12/12,,,,습도15%올림,
09월 11일,정식,62~83,20.5~22.0,,,20.1,12/12,,,,"정식, pH 6.0, 60초/15분",
09월 12일,,66~82,20.3~22.6,5.9,0.1,19.8,12/12,,,,광공급,
09월 13일,,,,,,,12/12,,,,,
09월 14일,,76~82,20.3~21.7,5.9,0.1,20.5,12/12,,,,,
09월 15일,,73~82,19.5~21.7,6,0.2,19.5,8/16,,,,"광시간 8/16(명10시~18시)
습도 2%올림",
09월 16일,,,,,,,8/16,,,,,
09월 17일,,77~84,19.1~21.2,6,0.2,19.2,8/16,,,,,
09월 18일,용수교환,79~84,19.5~21.2,5.8,0.2,20,8/16,,,,,
09월 19일,,79~84,19.5~21.2,5.9,0.1,19.2,8/16,,,,,
09월 20일,,,,,,,8/16,,,,,
09월 21일,,76~84,19.2~21.2,5.8,0.1,19.3,8/16,,,,,
09월 22일,,79~84,19.2~20.9,6,0.2,19.3,8/16,,,,관수 60초/30분,
09월 23일,,,,,,,8/16,,,,,
09월 24일,,78~84,19.2~20.9,6,0.2,19.3,8/16,,,,,
09월 25일,양액교환,79~84,19.2~20.9,6,0.2,20,12/12,,,0.4,"EC 0.4, 광시간 12/12",
09월 26일,,74~84,19.2~20.9,5.9,0.4,19.5,12/12,,,,생육조사,
09월 27일,,,,,,,12/12,,,,,
09월 28일,,78~83,19.2~20.9,5.9,0.4,19.5,12/12,,,,관수 60초/60분,
09월 29일,,78~83,19.2~20.9,5.9,0.4,19.6,12/12,,,,,
09월 30일,추석연휴,,,,,,12/12,,,,,
10월 01일,추석연휴,,,,,,12/12,,,,,
10월 02일,추석연휴,78~83,19.2~21.0,6,0.4,19.6,12/12,,,,,
10월 03일,추석연휴,,,,,,12/12,,,,,
10월 04일,추석연휴,,,,,,12/12,,,,,
10월 05일,,78~83,19.2~20.5,5.7,0.4,19.5,12/12,,,,,
10월 06일,,78~83,19.2~21.0,6,0.4,19.6,12/12,,,,광1라인,
10월 07일,,79~83,19.2~20.6,5.8,0.4,19.5,12/12,,,,,
10월 08일,,79~83,19.2~20.2,5.8,0.4,19.4,12/12,,,,,
10월 09일,한글날,80~83,19.2~20.3,6,0.4,19.5,12/12,,,,,
10월 10일,,,,,,,12/12,,,,,
10월 11일,,,,,,,12/12,,,,,
10월 12일,,79~83,19.2~20.3,5.9,0.4,19.5,12/12,,,,,
10월 13일,,80~83,19.2~20.3,6,0.5,19.5,12/12,,,,,
10월 14일,,80~84,19.2~20.3,5.9,0.5,19.5,12/12,,,,,
10월 15일,,72~85,19.2~20.6,5.6,0.5,19.5,12/12,,6,0.7,"습도 12% 내림, EC0.7, 광2라인, 관수60초/30분",
10월 16일,양액교환,66~73,19.0~20.3,6,0.7,18.8,12/12,,,,,
10월 17일,,66~69,19.2~20.3,5.9,0.7,18.8,12/12,,,,,
10월 18일,,66~70,19.0~20.3,5.7,0.7,18.9,12/12,,,,,
10월 19일,,66~70,19.2~20.2,5.9,0.7,18.8,12/12,,,,칠러켬,
10월 20일,,66~71,19.0~20.4,6,0.7,18.9,12/12,,,,,
10월 21일,,,,,,,12/12,,,,,
10월 22일,,66~70,19.2~20.2,5.9,0.7,18.8,12/12,,,,,
10월 23일,양액교환,65~71,19.1~20.4,6.1,0.7,18.5,12/12,,,,,
10월 24일,,66~71,19.0~20.4,5.9,0.7,18.7,12/12,,,,,
